TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,样本提示
0-6月,1,626,369,0.5894568690095847,2.587859424920128,可观察
0-6月,0,1341,320,0.23862788963460105,2.4213273676360925,可观察
6-12月,1,393,83,0.21119592875318066,2.6615776081424936,可观察
12-24月,1,439,56,0.1275626423690205,3.2710706150341684,可观察
6-12月,0,1192,74,0.06208053691275168,2.6577181208053693,可观察
12-24月,0,1135,46,0.04052863436123348,3.7894273127753304,可观察
24-36月,1,144,0,0.0,3.4027777777777777,可观察
24-36月,0,356,0,0.0,3.817415730337079,可观察
36月以上,1,2,0,0.0,1.5,小样本
36月以上,0,2,0,0.0,2.5,小样本
